timestamp_utc,send_method,cu_limit,cu_price_micro_lamports,priority_fee_lamports,fee_cap_lamports,recent_fee_min,recent_fee_median,recent_fee_p90,recent_fee_max,recent_tps,recent_slots_per_second,message_size_bytes,instruction_count,account_count,writable_account_count,landed_within_1_slots,landed_within_2_slots,landed_within_3_slots,latency_ms,slot_delta,confirmation_status,rpc_status_has_error,signature,sent_slot,landed_slot
2026-04-15T18:59:18.931875+00:00,rpc,120000,1,1,5,0.0,0.0,0.0,0.0,3204.5758333333333,2.5233333333333334,237,3,3,1,0,0,0,2967.999999999989,8.0,processed,0,2mS19pdCZSPTSkBBhUCbRURZTaYwdWTGBC6LjggTt7sXAwSChF6yYmb7dzWWHYgbUB612CQKRev5GisxcB7MyRq5,413442032,413442040.0
2026-04-15T18:59:23.820196+00:00,rpc,250000,1,1,5,0.0,0.0,0.0,0.0,3204.5758333333333,2.5233333333333334,237,3,3,1,0,0,0,2375.0,4.0,confirmed,0,5ZgeBvbnFA4fNcNZVqPnyy8heG7n3xWKwbyXTX1qX5pEJ8TEtjoZquYWnW4hdxue9Jojt7Lz9rN73VceRVTZEZYw,413442045,413442049.0
2026-04-15T18:59:28.108890+00:00,rpc,250000,1,1,5,0.0,0.0,0.0,0.0,3204.5758333333333,2.5233333333333334,237,3,3,1,0,0,1,1563.0000000000166,3.0,confirmed,0,5M13XV1j1kpCcCVnHJk1oLuKLTbjddv8ML4YTtQFGMaEporgbK4H6pdHjh4JT6pfaidzzx6QZbPbMLxFLMsxMktQ,413442055,413442058.0
2026-04-15T18:59:31.600429+00:00,rpc,200000,1,1,5,0.0,0.0,0.0,0.0,3204.5758333333333,2.5233333333333334,237,3,3,1,0,0,0,1311.9999999999834,4.0,confirmed,0,f3ytPBoYszpYvzjGcUqVkbJvCciFeKhBx4mHmwjsvhz5cFu2nj77iDnhWzJ7Ss1DcQCCepaHX1ZdsTSBjPAEPcf,413442064,413442068.0
2026-04-15T18:59:34.790586+00:00,rpc,200000,1,1,5,0.0,0.0,0.0,0.0,3204.5758333333333,2.5233333333333334,237,3,3,1,0,1,1,1375.0,2.0,confirmed,0,5rNSUyGccUk1XpSLMAVEkYp2jLCRvwtoBYQoJBNML1FzbdALThzr2VXWYBJRyTm9yCHQiSpFxAh8Xd6NL4QLeFLk,413442073,413442075.0
2026-04-15T18:59:38.048751+00:00,rpc,250000,1,1,5,0.0,0.0,0.0,0.0,3204.5758333333333,2.5233333333333334,237,3,3,1,0,1,1,2311.9999999999836,2.0,confirmed,0,2ti2dhWofW5j6UvgRUQUJox87WegKvtoNSFbWFSZzgRBbBAqMiJ8y9nFq8j6oKrEN9tm5gGqejCqRUUJw2B4hsK2,413442082,413442084.0
2026-04-15T18:59:44.637715+00:00,rpc,300000,1,1,5,0.0,0.0,0.0,0.0,3221.713333333333,2.5225,237,3,3,1,0,0,0,5467.999999999989,12.0,confirmed,0,2ntpRf497N48xuEAecLAxysPo26bqaRaVAVBJLR8kFYw8yWN6KFF1jJDeVAtZqqNscdMAdkE6gWtMWRXC6X3ZyM6,413442100,413442112.0
2026-04-15T18:59:52.610186+00:00,rpc,250000,1,1,5,0.0,0.0,0.0,0.0,3221.713333333333,2.5225,237,3,3,1,0,0,0,2906.000000000006,6.0,confirmed,0,5td7vwndSJXtJjDwiJyTfsBPsrnbKJw5WaMwE5zdNrrVuoYUmoRmrSnMF3H9Wu66BFfwQjkSv482aoqxLz5JHxZu,413442119,413442125.0
2026-04-15T18:59:57.406416+00:00,rpc,160000,1,1,5,0.0,0.0,0.0,0.0,3221.713333333333,2.5225,237,3,3,1,0,1,1,1484.0000000000089,2.0,confirmed,0,5oFz7XbEmDpvsqsVQFnzaBMVsPsJAqD3dutnhC67rvs6GJZkqQCSN2VJY1WFBXjagbVbNFfBDiF32GBezbydZAGP,413442131,413442133.0
2026-04-15T19:00:00.829248+00:00,rpc,120000,1,1,5,0.0,0.0,0.0,0.0,3221.713333333333,2.5225,237,3,3,1,0,1,1,500.0,2.0,processed,0,43WySNgnVq3LZZynDE9cSZ3waMQUrRCy1cVT1FtjhmpEV3ZhTCCk5FJsoa187r1QG8LNrtCi5J3bSFYHtdjjJ8cK,413442140,413442142.0
